carrera,plan,cve_materia,nombre_materia,nivel,creditos,caracter,vigente
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1001,SEMINARIO INTEGRADOR I,,1,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1002,SEMINARIO INTEGRADOR II,,1,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1003,SEMINARIO INTEGRADOR III,,1,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1004,SEMINARIO INTEGRADOR IV,,1,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1011,LIDERAZGO Y EMPRENDIMIENTO,,3,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1100,TECNICAS DEL APRENDIZAJE,,5,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1102,HUMANIDADES B,,3,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1103,APROVECHAMIENTO DE LOS RECURSOS NACIONALES,,3,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1104,HUMANIDADES C,,1,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1105,ESCRITURA Y REDACCION,,0,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1120,GEOMETRIA DESCRIPTIVA,,5,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1130,METODOS NUMERICOS,,6,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1134,COMPUTACION,,3,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1901,INGLES BASICO I,,0,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1902,INGLES BASICO II,,0,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1903,INGLES INTERMEDIO I,,0,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1904,INGLES INTERMEDIO II,,0,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1905,INGLES AVANZADO,,0,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1907,PRACTICAS PROFESIONALES II,,15,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1909,MOVILIDAD II,,6,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1910,MOVILIDAD III,,6,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1917,ACTIVIDADES DE APRENDIZAJE II,,2,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1931,INGLES 1,,0,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1932,INGLES 2,,0,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1933,INGLES 3,,0,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1934,INGLES 4,,0,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,1935,INGLES 5,,0,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,6023,DINAMISMO I,,6,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,6033,DINAMISMO II,,6,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,6045,PRINCIPIOS DE ECONOMIA,,10,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,6060,MATEMATICAS APLICADAS,,10,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,6069,MATEMATICAS APLICADAS,,6,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,6070,ADMINISTRACION,,8,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,6092,SELECCION Y USO DE MATERIALES,,10,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,6099,SIMULACION,,8,optativa-otros,false
INGENIERIA,MATERIAS NO VIGENTES EN EL PLAN DE ESTUDIOS JUNIO 2019 PERO CURSADAS POR LAS COHORTES EN ESTUDIO,6100,DISEÑO DE PROCESOS,,10,optativa-otros,false
